user_idx,items
5184,"6891,12155,12856,5544,10355,2394,2379,7486,1639,3529,11383,4945,6313,6447,6165,10261,4452,1583,3121,5023,3293,5186,9082,11179,4413,8451,9862,4781,2335,11281,13254,12025,1439,4412,1285,13223,7151,9458,3787,10178,228,10843,11256,4923,7636,12555,686,8898,12662,3949"
5188,"2139,5302,8420,1911,10325,11842,9071,2205,1787,5998,2788,3949,219,4946,11395,10607,9798,8160,1879,1995,2336,11750,12605,4678,11571,9732,1420,2566,1016,3044,13295,2342,6394,5544,4148,330,1219,2198,6234,11560,10178,9340,1285,7196,11725,6432,3514,9448,630,836"
5190,"5302,4412,10325,8420,2198,4276,7722,2788,2566,3044,2217,8234,850,2420,686,9798,11842,4797,10915,10081,3105,13295,1226,10607,2989,1956,3839,12025,3769,12330,6394,11395,1452,11383,543,12155,2336,5544,3339,3887,930,12856,2479,7947,10178,1583,6325,5023,7228,1289"
5205,"4697,6970,6165,2139,6219,2217,9798,13295,7636,10834,975,7706,3087,5998,4145,8921,5544,9936,630,9563,2372,4148,12605,1452,3044,7705,11179,4797,11291,892,7228,10331,2725,7947,4412,1855,2019,12025,10240,11885,1099,8702,5148,13227,10138,8160,9743,2936,11335,5341"
5212,"5302,6970,6219,2139,10325,8420,9941,9798,4276,9071,10834,13295,3054,8234,8921,2989,11539,5544,11842,10915,850,10607,330,4797,6325,975,11783,12856,11750,2420,7137,7947,1226,4412,12025,11383,6981,12679,12605,4145,10433,543,1285,5917,7228,5501,7722,1583,12989,2646"
5223,"2139,499,6833,2342,9692,4276,10325,1219,10834,3835,1795,2566,7438,1431,4797,850,784,88,1787,6794,2536,4412,12330,5531,892,9334,2788,7722,12046,584,7963,564,11571,2082,4387,11725,10351,971,741,424,11356,389,1128,2148,2267,7270,10962,9305,6230,1289"
5225,"6970,2139,2566,2788,5302,3339,4797,10325,7137,330,1911,5998,3769,975,12679,9798,9071,9448,3054,5198,11383,1995,219,12610,13295,1787,10607,5609,10915,9879,10178,10137,4276,8412,8160,11992,12025,5544,1571,12155,12856,930,2909,9732,6981,4314,1583,11571,6750,11750"
5240,"1289,788,5134,9961,4928,10606,13308,342,7119,10662,2637,6624,7816,10335,295,3426,4612,4575,4035,10388,9767,11297,10146,10643,13026,3538,12736,11023,4162,1557,2568,4972,5671,3885,5968,3322,10962,9169,12029,11917,7944,11774,9745,53,3237,4082,4110,5572,2578,7403"
5263,"6721,6321,10996,8166,10384,688,11023,1289,1749,8634,4035,8341,10673,712,5569,11063,3915,9670,12831,5434,3426,1350,8089,2339,8289,1638,11718,9263,9184,2395,12279,1521,2678,4707,10456,647,12251,497,4957,9586,1828,1479,1585,7493,3832,6609,10465,5640,11721,10686"
5267,"6219,5302,2217,10325,8234,2379,9798,6165,2342,4276,3949,6394,13295,2336,850,975,5198,1226,2198,11842,11750,4412,7137,5544,10607,7228,4797,5531,11395,543,7062,11383,7722,12605,810,12856,12025,7963,1452,7947,330,2936,6981,10915,4946,8160,8561,1733,1289,6970"
5269,"10325,8234,13295,4148,2217,10834,3949,9798,2336,5998,4697,7722,9941,2198,975,1452,5544,8160,3044,1226,11783,6432,9667,3054,4412,2989,810,12605,2342,2420,7557,3070,1879,6325,12025,4797,11750,2479,4946,7947,12358,1285,9732,6394,4276,543,454,1733,5917,1289"
5286,"2139,6970,8420,9798,7137,13295,2217,4412,2566,2788,3769,4797,4100,5544,11842,330,3339,975,850,9941,2168,3054,3949,274,7438,2989,4276,2198,11395,10607,10178,4321,11383,5917,2336,7947,10081,4314,543,10339,810,7228,564,6898,6325,7722,4946,9305,12989,930"
5313,"9798,13295,4697,5544,7722,5998,10834,6165,2198,3949,4412,8921,8234,2217,4797,4100,4145,9667,975,7947,1226,4148,12605,6961,3044,7636,5548,7705,12025,3839,11395,9936,9563,7228,9458,2479,6394,1452,9082,2797,13109,10081,11910,9997,11179,5148,2019,3070,11110,10433"
5317,"1289,4928,7119,8566,6242,4082,4386,10321,10662,4776,13100,12496,5134,788,8301,5572,342,12473,9670,5809,3479,1115,4285,5674,9294,110,1976,7816,2968,6002,2713,8354,12558,9645,4138,2285,10962,6810,8553,11142,3696,4126,2604,2884,3261,1474,10146,11087,588,6970"
5325,"6219,5302,6165,10834,7636,8234,2379,3087,2217,7705,975,7228,1597,2019,4148,2372,9798,12605,1452,2936,4412,8921,13295,9458,8561,2342,10240,11291,10331,12025,4145,8702,5148,2725,7722,1226,4046,1928,7023,7947,6794,2536,2846,10081,5341,1733,588,1289,6970,2139"
5335,"6970,5302,2217,4412,9798,4797,13295,9941,12679,12025,3769,2342,9667,975,3339,5544,2788,4100,9071,3054,10607,3105,5531,1219,2566,8412,10081,5865,4276,543,4005,9692,2536,11383,7722,9082,8702,9936,6833,3908,6528,10178,6325,1452,6794,11288,4314,4697,7228,8561"
5342,"1289,6970,4928,7119,342,10662,10606,2915,12496,5134,788,6242,295,1399,3426,8566,4162,892,4575,10146,11689,11297,2637,1658,1557,4082,32,2581,10962,12029,2956,9404,2578,10580,363,584,5572,2342,2163,11023,8553,10388,4035,4386,9294,11917,389,6281,7855,11774"
5346,"2139,6219,9798,13295,10325,5998,8234,2217,9941,3949,4697,5544,4412,6165,7722,12679,219,4148,3054,12610,1597,4100,1452,2198,975,6325,1226,7947,772,630,11539,2336,10607,11750,3339,3044,2936,2479,2566,2788,810,10081,8160,12605,10339,1879,11395,6981,6924,5198"
5353,"2139,1911,6219,9071,564,5998,7438,2909,11842,630,4876,850,2336,9798,5544,101,9732,2381,2148,2205,11383,10178,11750,1879,13295,810,9340,6961,2566,9305,6394,8160,2342,2263,1420,9937,10915,4946,13213,3044,646,1016,2936,10339,12856,3070,2788,4797,12610,2198"
5355,"8234,10325,2566,7722,4484,1733,2342,12664,13295,6219,3070,274,4946,10834,10026,1571,6981,7632,2205,1219,5123,4318,5544,2238,3949,9798,510,11560,4148,2198,9454,6394,12679,2420,2936,1452,8420,8589,761,7270,12025,3765,5063,11592,4100,2927,11395,7700,3502,9339"
5366,"4928,1289,342,10662,6242,6219,2915,8234,8589,1474,9670,788,8301,3736,5134,11116,4697,10146,295,9798,7855,13100,7119,10529,9404,5572,8566,10962,13295,6810,4082,11650,8553,12496,5544,2186,2285,1855,7636,2568,9767,3092,12810,2663,4386,2968,926,4318,13141,12761"
5372,"6219,8234,5302,10325,9798,3949,5998,6394,3044,2788,4946,13295,7722,3339,2566,5544,8160,2342,9448,4100,10791,9941,13223,2989,4412,11560,2904,6961,4148,11750,5917,3054,1879,12025,2536,761,2198,6981,6325,6528,4797,11910,7228,11395,8561,4321,7947,930,2420,1289"
5384,"5302,6219,2139,2217,10325,2379,9071,5531,9941,274,4276,32,1911,9579,9798,892,6165,1977,3054,1658,13295,4412,9879,1452,4797,10915,11750,1226,363,1431,7137,686,2267,543,2148,7963,12025,499,448,2163,584,11383,3835,7722,7947,5023,7228,891,1795,2420"
5457,"6970,6219,2342,2139,10325,5531,88,6794,2536,2566,4697,1219,5865,6833,4412,12857,12679,9692,4276,9798,1977,13295,2336,1733,543,9667,5024,11539,1226,2420,7270,4797,7963,6165,5544,12605,330,3044,10915,7722,3339,11750,4148,10081,686,7228,1285,12989,5917,8204"
5462,"8234,7722,2566,2139,274,4484,3070,13295,2342,12679,2205,3105,6219,5063,11560,2788,4100,6970,12664,2198,1733,9442,4148,7228,1571,761,4946,11395,10834,6394,9798,3514,5123,10178,5544,11383,4412,6833,2536,9732,2420,9996,4198,9454,7632,13133,10081,9448,4276,1289"
5470,"777,1557,1289,10662,342,4928,11917,53,2915,4035,5134,5978,10647,8649,788,3237,2637,419,2956,3426,13308,7119,1638,3069,9745,1850,1778,1749,9767,9184,10388,245,5660,3538,11063,4215,9961,4162,11297,11417,11023,12496,8634,10161,3322,5572,13141,4792,9970,1976"
5475,"2139,5302,7438,2217,7062,10325,2904,4276,4412,2198,4864,9798,274,4797,6165,975,2342,13295,2788,2336,564,2566,9667,5484,11750,6833,9305,6394,9692,8561,5544,7722,810,9936,6981,330,12025,11383,4697,10081,7228,7382,2381,11395,1298,930,2148,2865,6794,9448"
5483,"8420,5302,10325,8234,2566,9941,1787,9798,10834,13345,3044,11539,2646,2336,8160,2904,6325,10607,10137,3949,1995,4321,10915,13295,11560,3054,3339,761,5531,330,7196,9448,2788,6234,4797,7557,5544,4148,2420,5917,10178,6981,1583,11750,5609,7228,8561,13223,12856,4276"
5507,"1289,4928,10606,5134,9961,10662,788,10673,2915,342,7119,1557,3426,2637,4035,5671,9184,13308,11917,11297,8518,1749,4162,10388,8634,9767,3237,11063,5978,2956,172,1968,11023,8553,4082,9294,3322,9169,10647,2968,7944,1638,712,10580,161,8649,9959,2484,4386,6970"
5512,"6970,1289,8589,4928,2342,10325,6219,2578,6242,88,3736,5531,8301,295,4318,2968,9294,342,8566,10146,4082,7119,10580,9404,5865,3426,12756,1733,7270,5572,8553,10962,4386,543,2536,2637,3602,125,2884,1475,12857,2663,2186,3092,1474,6794,7855,9767,10529,2139"
5519,"5302,8589,2566,4276,2342,2336,10834,2788,5484,13295,7062,9579,9339,5531,3769,6514,10607,11783,4797,9798,9667,330,543,4678,5198,11539,9967,4321,8519,12989,810,7137,5609,10915,7963,6961,11383,9448,2536,10382,9692,8160,3339,12856,6833,646,6528,4387,3908,11750"
5523,"6219,10325,9798,2217,10834,13295,4276,9579,2336,11750,2566,11539,2342,2420,10607,1452,12679,10791,12856,3054,6165,10915,4797,11783,3339,543,6981,6325,7947,11395,5198,1583,4321,6394,11383,810,4412,330,7722,8204,6302,1226,2198,8160,686,4946,7137,3044,1928,1289"
5538,"10325,2139,6219,8234,9798,13295,1452,7722,10834,2217,3044,2198,5998,5544,11783,1226,2336,4148,9941,6325,9071,5024,4100,12679,810,9579,7947,3054,5531,7557,630,454,2936,9967,4412,1977,8160,4797,2420,2479,1285,9732,543,9340,1209,2646,11402,11110,5501,12025"
5553,"6970,6219,2139,10325,8234,2217,9798,13295,6165,1452,1226,5544,8921,4145,9667,543,9941,2342,7062,7722,4412,975,9071,3054,7947,6741,2148,2198,2336,12025,4100,4946,11750,12605,7228,6394,4601,164,6981,2479,8160,5198,4148,10081,2420,4276,11395,3839,8561,7023"
5563,"2566,2139,6219,10325,8420,2788,8234,9071,1787,9798,1911,2336,219,10433,13295,330,10607,4276,761,11842,2420,9879,3339,543,1420,810,2646,1571,11395,4739,4946,6325,12155,930,686,5544,11750,1995,4797,9997,6394,7722,2797,2198,5917,7947,8160,9442,1289,6970"
5594,"2139,5302,8234,10325,4276,9798,4412,10834,2198,13295,11539,2904,11383,4100,543,4864,4797,2336,10915,6165,4321,7137,784,2342,7722,975,5544,12025,3054,12856,10607,810,8412,3765,4697,10081,4116,7947,10178,9732,8160,6394,12989,1226,7228,8561,3294,11750,6981,11395"
5600,"6970,5302,2139,2290,10325,1633,274,9071,7438,10834,9667,2342,8234,1911,9798,3736,5531,101,32,10146,1977,12756,8921,2148,9770,13295,564,88,8160,1658,1733,295,4276,9404,4145,1226,3179,630,10962,4797,4876,2263,9305,2578,12989,4412,10461,125,363,3092"
5601,"10325,2139,8420,2217,9798,13295,975,2788,2198,2336,12679,9941,5998,6432,4412,7722,12792,2989,330,5544,3044,7557,1787,810,2566,9967,3054,3339,1995,4797,12856,9579,5484,1452,9448,13345,4276,11395,10915,6394,6325,686,11383,1226,772,4148,7947,9732,8160,1583"
5617,"6970,5302,7062,2217,7137,4797,2788,9798,4276,2168,9667,10607,975,6165,13295,11539,219,2566,3769,330,1911,2342,12025,5609,9071,4697,2336,3339,5544,8412,6981,4321,11968,543,8519,8160,11750,5917,9732,9936,9967,9448,6325,10339,4314,12989,7228,810,8561,3044"
5642,"8420,5302,5998,2217,8234,2342,10834,2788,2566,9339,6514,2198,784,4276,13295,4116,11783,1452,4412,5531,11395,5198,9798,4331,12664,3054,11356,9692,9448,12155,4697,6528,4148,5874,2536,6394,4797,2570,8160,5544,7722,5865,3339,9177,7270,6833,3908,4946,3765,1289"
5643,"6219,10325,9798,8234,2566,2217,1597,13295,10834,4697,5548,2904,6165,7577,12610,4412,4276,2788,4797,3054,11539,5544,7947,4864,10607,3765,2342,6924,6981,2909,9936,4321,2336,11750,12025,3044,7137,7722,2372,7228,9732,8561,10081,4148,12605,3339,1452,6325,5917,1289"
5650,"6970,8420,2217,6219,2788,4797,1597,11539,7137,10325,2566,11842,10834,330,850,9798,2168,3339,975,12025,13295,3769,5198,219,4276,10607,2198,10137,5544,5609,4412,11395,4052,2336,9732,2342,9448,6325,11288,7228,12155,11356,2570,5501,8561,4946,4314,784,930,1209"
5654,"10325,5302,2139,630,8234,7722,1733,4946,2198,274,9798,3070,4318,5544,13295,2205,9941,2148,9667,2342,975,2238,4100,7947,1226,6432,5531,6417,8589,6394,1219,1768,1583,3044,4148,12353,4499,11102,11395,13109,7196,10607,4412,7700,10915,6325,10545,4484,2420,4697"
5657,"6219,10325,9071,9579,2566,9798,5998,2336,4276,4412,9941,6165,2989,1911,7722,543,3054,5531,1226,2342,9667,2420,13295,5544,11539,6394,3769,10607,11750,2788,686,6325,10081,7947,4797,7228,4946,2198,10339,9967,6637,330,810,12025,7137,4148,3339,3044,12605,11395"
5659,"6970,8420,5998,4276,2566,2788,8234,10137,3769,1911,13295,4412,10834,2168,12679,2342,9798,6165,3054,1995,7137,2336,10915,10607,1787,543,5544,4797,11383,5198,12155,9448,8160,330,12025,4321,9879,9967,8574,12856,10178,2536,11725,5609,810,6981,3339,7722,11750,4148"
5661,"2139,5302,4412,9667,10325,4797,975,2566,330,9798,13295,3054,4276,7438,7137,1911,2168,3769,3339,8160,2788,2336,5609,8412,1995,12025,5544,4321,3105,564,9071,2198,10607,5198,9879,11395,10915,1787,9305,11383,10081,7722,2381,10178,6981,4946,1420,11288,7228,4876"
5669,"2139,1911,10325,6219,2217,8420,9071,219,5998,11842,2566,5544,9798,13295,3765,1787,850,6394,2788,2205,2336,6325,12679,630,12605,2936,11383,1995,761,4797,11395,9732,975,12856,10607,2198,1016,4946,9937,2865,8160,3070,7722,7228,810,11560,9448,1452,11571,7196"
5675,"1749,4035,1289,8341,9670,8634,11023,6321,10673,9961,6721,688,5569,712,3915,8089,10384,2763,11063,9184,13184,3322,10574,4954,3434,5434,12831,11212,1638,12902,1585,2339,788,8166,11142,1968,10465,2713,10693,10996,5885,5640,11742,7072,13308,1778,5294,11848,3426,3752"
5679,"3839,10081,1226,3887,3105,2139,4276,10325,2217,8793,9071,9798,6394,2198,2566,2479,13295,5544,12155,2788,11395,3054,2420,8921,5198,4797,12330,2342,1452,543,7947,4946,12605,686,7228,12025,3339,11383,5023,2334,3514,4601,10506,10433,6932,11047,8561,11907,1289,6970"
5697,"10325,1733,2342,8234,2566,88,2139,12679,7722,6833,9692,7632,12664,1219,2536,6219,6794,6981,10834,8420,9131,5531,510,9454,630,543,5865,1571,2936,6230,7270,1439,10178,5063,9937,4148,9996,353,9732,4318,9096,11560,11750,5743,2420,3908,7700,11110,1452,7520"
5709,"5302,10325,2566,2139,8420,2420,10834,1787,2336,8234,330,1583,9798,10915,9071,11783,9579,2989,6432,3339,1995,3054,850,13295,975,5917,686,1226,6325,10607,2646,810,3044,11750,454,10178,4148,6302,9879,12856,4276,6981,12605,11383,2788,7947,7722,8204,761,5198"
5722,"1289,10606,10662,2637,2915,11023,10673,7944,342,5671,4575,11297,3426,9169,11917,11063,7119,5134,1120,12868,10580,1557,3069,6811,8634,8474,1638,1850,12765,161,712,1771,125,10388,4162,8713,295,3569,9294,9767,4110,12902,3602,2578,2590,5968,1724,1778,6970,2139"
5741,"2821,11356,2570,784,4052,4116,2139,13057,3796,5302,6219,10834,975,1597,2168,11842,11539,9071,5998,850,5198,9798,4797,12610,8420,2566,1995,2788,1911,13295,11395,3769,5531,1787,4412,330,2493,3765,3339,2909,5544,9732,893,11571,2198,13217,7228,12463,6394,1289"
5747,"10325,7722,8234,6219,4484,11592,6970,9825,12664,3070,448,274,510,2936,2633,1733,2420,8420,12679,5494,13295,10178,2342,1452,10915,3583,5544,892,1439,3765,542,4148,543,4946,9454,2205,9937,9798,9996,9488,9334,9732,11494,2238,12025,5123,1583,13109,2148,5917"
5749,"5302,2139,10325,2217,9798,13295,4697,5998,10834,8234,7722,6165,2342,5544,11783,1452,4412,630,9579,975,2788,5531,5484,12679,2566,543,2989,2336,3339,810,12605,6432,4797,7557,3044,6325,11750,4148,7947,1733,12025,9448,9732,2536,6981,4276,7982,7228,6833,9967"
5786,"10325,8420,510,2566,2139,7722,6219,274,8234,4148,12679,9454,2420,4946,8160,10178,1571,10834,761,5998,13295,5544,11494,216,3949,10915,11395,2205,4484,5063,3070,7706,454,1995,9798,11083,2936,9732,12025,1583,9488,11560,4198,9996,7196,5123,7216,6394,7270,330"
5797,"13295,9798,10325,6219,4412,5998,2217,7722,9941,3949,8234,5544,4697,2198,10834,12679,975,6165,2336,11783,4100,7947,6432,3054,1226,784,11395,2788,1787,10081,772,8160,1452,9732,6325,1995,2936,2566,8412,4797,810,3044,11356,2865,2570,3070,6394,9967,2205,9448"
5798,"564,7438,9305,2148,2290,101,2139,9770,2263,164,2381,7740,1710,7382,9072,11691,805,3505,5435,6600,5302,4876,2647,8401,12541,2632,7776,5289,12137,5945,1225,2520,10414,2593,10146,5746,2299,407,3088,172,382,7340,10962,9939,32,2342,3607,1289,6970,7119"
5814,"9961,788,13308,6624,7816,4612,1289,10335,4928,13026,10643,4972,9836,12868,1399,10662,9865,12736,7119,2915,12496,13100,6242,9767,5007,3885,7403,12029,9670,3322,10736,10388,4386,2270,3696,6097,4082,4954,1553,8652,868,2578,5572,12454,10146,342,10962,8553,8934,6970"
5821,"2139,10325,2198,2217,13295,9798,8420,9941,10834,6165,219,1452,7722,3044,4148,2566,2336,11783,4412,5484,6394,9579,2788,6432,6325,8412,4797,4276,2420,3054,810,2989,9667,630,330,5544,12856,11395,1226,1879,12025,11750,5198,1583,10339,8160,7557,6417,3339,4946"
5833,"6970,8420,2139,5302,5998,13295,850,4412,9798,10325,9071,3054,8234,9941,12679,784,11842,3769,5544,4276,4100,11356,2168,1226,2807,4697,4116,11539,10137,12155,12025,4797,2570,7722,5494,6981,6325,6898,5501,4601,7947,8160,11750,3991,10081,4052,12943,2479,7216,3839"
5845,"6970,2139,2788,2217,6219,7137,8420,12679,10325,9667,4797,975,9798,2566,330,3769,8234,13295,2198,2168,4276,1995,11395,3339,4412,1420,1787,5544,3054,11383,8412,12025,9448,1286,2336,10178,4946,4314,930,6394,564,11571,5213,9967,7228,855,10461,5571,1571,1289"
5857,"2566,1995,10325,12856,8420,2336,9941,3054,784,10915,5998,11539,219,9071,10834,9798,1583,2646,4276,10607,810,9579,5609,3765,3769,2420,6165,3339,5198,2788,4116,543,11383,761,10433,330,930,6302,11750,1571,1879,454,6981,7947,2797,12989,6234,5304,1289,6970"
5881,"2139,2788,8420,2566,10325,4276,2198,8234,1179,7137,2217,2904,1775,7062,930,4797,9798,11395,12679,1597,3339,6394,13295,1956,10607,4321,9448,5484,12856,4412,11383,3054,12025,5544,9442,330,5609,3427,7947,11560,686,1571,12874,4946,3514,5023,5917,5746,1758,1289"
5891,"448,10325,2566,9825,891,892,8234,542,2633,4499,2139,1119,584,12442,9454,3070,2470,510,4318,2715,3835,4484,1947,6858,8420,389,246,1597,11560,5302,3651,2731,3583,97,2267,5123,2238,713,4401,9334,12046,4946,11395,586,991,9208,794,6424,1452,293"
5896,"5302,2139,6219,8234,10325,4412,9798,2379,4276,1718,3054,7722,3044,1226,12025,13295,3765,10915,4100,10607,5917,2168,975,2420,2566,4797,11383,9732,2336,4321,7137,6165,10178,330,543,5544,3576,8160,2788,8204,7947,5609,3839,10081,2148,1583,12874,12856,810,5501"
5897,"2394,12155,9862,2168,1639,11992,1439,5544,4052,10355,6313,7486,12856,8898,11383,6165,1285,1739,10261,4452,3695,9798,13295,7947,2493,10672,12933,1583,4945,9409,5470,10178,13400,465,4412,11837,7298,4347,9937,8451,11179,11910,11006,9491,4923,7734,3765,2204,11704,12555"
5901,"4412,2139,7722,3105,5302,10081,3839,1226,9798,2217,4276,4797,850,10325,13295,2198,4100,3769,5544,2566,9071,12330,3054,12025,11395,11842,3887,2479,2342,2989,4697,5198,2788,543,3339,3044,4946,8793,12155,7228,1452,7947,2420,9936,3070,2205,4314,11047,686,191"
5918,"1289,7119,4928,2915,10606,6242,10662,3087,295,8566,12496,4082,1243,788,4575,4697,1399,12029,5134,9936,8702,7636,13100,5572,4386,11023,3538,1855,6165,9458,10962,10321,4776,7816,3479,7705,1976,342,10146,7855,12473,2988,8553,9184,9294,9645,3261,4612,6323,2884"
5933,"8420,10325,11842,8234,9071,9879,850,4864,10915,1911,2904,2336,9798,2217,3044,686,13295,10137,2379,11539,2420,2566,1452,810,543,5917,4412,1222,4276,6269,12025,3054,1583,7722,5544,6981,330,2788,2807,7270,7947,1209,4797,11750,8160,12358,4148,836,1226,1289"
5945,"1289,7119,4928,10606,10662,342,2915,10146,1557,295,4162,4082,1399,10962,3426,788,5134,4575,2956,6242,9404,3736,11116,11689,3538,7855,6281,8566,4386,2342,5572,11023,3092,11297,4215,53,12810,32,9767,1658,11917,125,892,777,4663,10388,8553,9294,2884,9184"
5964,"6219,4928,8234,2379,10325,7706,6242,9798,5998,13295,9670,7722,3736,2342,10321,9071,8566,12679,5544,4100,9732,975,2536,4412,9404,11910,12605,7023,2186,4321,6810,7855,11650,2968,3044,6981,12029,11402,7228,6325,11750,10146,809,2148,926,7947,8561,1927,1928,2936"
5994,"2139,5302,8234,2198,10325,10834,5998,2566,9798,6165,2342,2788,11539,13295,1977,3044,5024,1956,4116,6394,3765,10607,12664,4946,543,11750,5531,784,4321,4276,5544,2336,11395,3769,12025,5917,6981,9732,4797,3294,7947,7137,4005,930,2420,12874,6127,5609,6833,8204"
6004,"5302,9798,13295,10834,4276,2217,4100,11783,2989,5544,9579,9941,8234,6325,4797,4412,3054,10915,2336,10607,2442,4697,6165,2198,2797,11539,10433,10791,7137,12664,10339,10565,9997,4678,6981,11750,7947,5350,11395,4739,12025,7722,2646,7228,8160,1226,9937,11383,9967,6394"
6005,"12155,2168,12856,6165,3529,11992,7486,11383,9862,6891,2394,7502,10261,4452,1439,3710,4052,12330,1583,1639,5023,3695,3111,8451,3121,1285,9458,6313,11006,10672,7186,11179,620,8898,10178,11281,4412,3293,12001,7734,4923,2493,11837,3787,13223,12025,4347,1739,686,8234"
6012,"2139,10325,5302,2217,1911,9071,9941,9579,4276,12856,975,3054,7062,274,543,1452,6432,4412,9798,2336,10915,10137,11750,1222,8160,330,2566,9879,10607,810,11383,7137,2420,4797,686,1583,2788,12989,12025,7722,9967,6981,1420,1209,5023,9012,8561,7228,5917,1289"
6015,"10325,8420,11842,2379,1911,2336,9071,9941,6432,12792,850,975,13295,10834,5998,2788,11539,810,7557,1787,9798,10915,3054,8160,9967,12856,2168,9579,330,3765,543,11636,11383,1995,1209,2566,4797,4276,3044,1879,9732,10178,9448,5198,454,4148,2410,836,7216,1583"
6022,"788,10662,5134,7119,6242,8566,12496,9961,342,4082,6624,4575,1557,11116,10146,13100,12029,3538,9670,4162,2637,7816,10962,4776,4035,11297,4386,3479,5572,4663,3885,10643,10335,9865,4612,2956,3261,8553,9294,2578,2968,11917,13026,5968,7944,2884,6970,2139,5302,8589"
6051,"10325,2139,7722,274,12679,2566,3339,5302,4100,630,13295,2238,11636,9937,12353,2198,9798,1226,8845,2342,9732,2148,6325,5544,6432,10607,11395,7196,11560,975,1571,12792,6394,7279,4946,1879,11083,2205,3769,761,2788,5063,7947,5123,4412,12925,4484,9692,4314,4499"
6055,"2139,5302,8589,2566,7062,7438,2217,2904,3044,4797,2342,8234,9798,8412,2198,646,4697,2989,4321,13295,5531,3769,9879,5484,12025,4276,10915,4412,7722,6833,2788,2336,543,4318,1226,1219,5544,7137,9692,930,7228,1452,5917,3339,330,7947,4148,11383,7270,5865"
6058,"5302,2420,8420,2566,10325,1452,9071,1911,2342,7062,5998,5531,3044,2336,274,6165,3339,4946,7270,4148,686,2198,3054,6302,1226,11750,12025,7722,8160,330,11395,6981,1733,10607,6325,2217,646,4321,5484,12605,892,1879,4412,810,5865,9579,5198,8204,6637,2205"
6063,"2139,8234,5998,5302,10325,9798,9941,10834,5531,13295,4697,2821,784,2788,4116,4100,11539,6394,2566,1879,4797,3044,2570,9448,2342,6528,11842,12605,5544,7228,1513,5663,11560,4321,6325,4052,11750,4276,2198,8160,8561,6981,11395,11910,1699,11356,3991,5198,930,2536"
6090,"784,2821,2570,4052,6219,2139,11356,5302,10834,5531,5998,1787,5198,9071,11783,9798,1911,11842,2566,13057,4331,11539,4276,7963,2342,975,7722,1995,13295,3054,6394,850,1226,5865,3765,2493,4797,11750,11395,772,7228,2770,1879,4412,809,2420,3339,7947,7270,1289"
6111,"7119,788,6242,342,9670,10606,8566,10321,4082,10662,9961,5134,13308,11023,13100,13141,6624,2915,12868,125,10580,7816,4386,3479,4776,10962,1435,8553,10146,5115,9404,1474,3885,12496,8652,10335,6810,10388,9645,3322,12473,4612,2663,11555,8858,10643,6970,2139,5302,8589"
6132,"2566,5302,10325,2788,8420,9798,8234,2217,13295,1787,12679,4276,1597,975,2904,4100,3339,2168,11539,4321,4412,4797,3765,2989,9071,7137,2198,930,5544,9448,7947,330,6981,9732,784,1571,11560,1226,5484,7722,761,5198,543,10339,1995,3054,11750,3044,11571,1289"
6149,"1289,2139,6970,4928,6219,10325,2217,6242,13295,8234,9798,4082,4697,4797,6165,5544,7722,9667,12679,9071,4412,6325,543,11539,810,5484,1452,630,3044,7947,5572,9404,12025,5350,11402,9997,9967,4386,2797,10433,6961,2336,1474,4739,8160,1285,6898,1226,9563,9936"
6154,"2139,6970,2217,5302,7137,4412,4797,9798,10325,4276,2788,12679,13295,10834,274,9667,11395,1911,2198,9071,330,975,4100,5544,8160,12025,2566,3339,543,5609,11383,10607,564,8412,10081,4321,2336,10178,6394,4946,7722,1452,7228,9305,810,9967,7947,6981,1209,9732"
6156,"6219,10325,8234,2379,8420,9798,2566,7722,9071,3044,13295,5998,2198,2904,11395,646,1879,6394,2788,4412,9448,6325,9732,8160,330,5544,4946,10915,12605,11560,4321,2336,2148,930,6981,761,7196,2205,9937,9340,11750,10178,2420,3070,4797,4148,7228,8561,13133,11910"
6211,"5302,2198,13295,9798,8921,4697,4412,7722,6165,10834,9941,5544,8234,975,6394,4797,8412,1452,9667,3087,4276,11783,12025,5484,11395,1226,7228,4145,4148,7947,5198,3070,892,10339,6961,810,9936,8160,10240,9732,564,9967,10081,12605,2336,3044,1879,3577,1289,6970"
6217,"3529,12155,12856,850,2168,9862,11842,2394,3710,6106,11383,10261,11992,8451,1583,6165,10999,1209,4452,1285,6313,1639,7186,4347,1439,9937,10178,8898,5023,12933,11837,5470,12453,3765,11179,1739,7734,465,2120,11281,4491,6787,4412,12025,686,6625,11448,2157,12403,3768"
6241,"2139,2788,6970,5302,2217,3339,9798,7137,2566,10325,13295,2168,4412,11539,4100,9448,12679,11395,11842,5544,975,4797,9667,850,8412,3054,330,5198,2198,930,4276,8160,10607,3769,543,1571,3765,7947,10339,9732,6898,10081,5609,564,9967,6981,7722,761,6394,1758"
6242,"2139,2217,2198,3949,13295,2566,8420,2205,2788,9798,5998,2336,6432,630,7062,274,810,1452,5484,975,10834,3044,5544,4797,11395,3070,11783,7722,2989,9448,8412,2342,9667,6394,4148,3339,1226,6325,7228,4412,12610,330,772,7557,8160,1571,3769,8451,454,4946"
